session_id,load_nm,fault_family,fault_location,severity_code,severity_level,severity_value,severity_unit,label,has_vibration,has_current_temp,fs_vib,n_vib,dur_vib_s,vib_nan,acc1_rms_g,acc1_mean_g,acc1_kurt,acc2_rms_g,acc2_mean_g,acc2_kurt,acc3_rms_g,acc3_mean_g,acc3_kurt,acc4_rms_g,acc4_mean_g,acc4_kurt,rot_freq_hz,fs_ct,n_ct,dur_ct_s,ct_nan,temp1_mean_c,temp1_max_c,temp2_mean_c,temp2_max_c,current_r_rms_a,current_s_rms_a,current_t_rms_a,line_freq_hz
0Nm_Unbalance_3318mg,0,unbalance,rotor,3318,5,3318.0,mg,FAILURE,True,True,25600.0,3072000,120.0,0,0.1047,-1.1e-05,3.203,0.0743,-0.000152,3.059,0.0768,-0.000134,3.01,0.085,-2.4e-05,2.421,50.2,25608.19,3072983,120.0,0,27.45,27.67,27.77,27.94,2.2141,2.2066,1.7303,48.5
2Nm_BPFI_03,2,bearing,inner_race,03,1,0.3,mm,WARNING,True,True,25600.0,1536000,60.0,0,1.0446,1.8e-05,9.858,1.5782,3.7e-05,16.899,0.2694,5.8e-05,3.197,0.2041,1e-05,3.317,50.2,25608.19,1536492,60.0,0,27.65,27.87,29.12,29.32,2.4356,2.4341,1.9029,48.6
2Nm_BPFI_10,2,bearing,inner_race,10,2,1.0,mm,FAILURE,True,True,25600.0,1536000,60.0,0,1.3739,-1e-05,4.246,1.2836,4.5e-05,4.969,0.5463,-1.9e-05,3.429,0.2923,8e-06,2.695,100.4,25608.19,1536492,60.0,0,28.84,29.24,28.58,28.93,2.4499,2.4475,1.9136,48.6
2Nm_BPFI_30,2,bearing,inner_race,30,3,3.0,mm,FAILURE,True,True,25600.0,1536000,60.0,0,0.7824,-2.5e-05,4.032,1.1454,-1e-06,6.548,0.3223,1.3e-05,3.473,0.2323,1.1e-05,3.795,50.2,25608.19,1536492,60.0,0,29.69,30.03,28.72,28.91,2.4375,2.4353,1.9067,48.6
2Nm_BPFO_03,2,bearing,outer_race,03,1,0.3,mm,WARNING,True,True,25600.0,1536000,60.0,0,0.5594,-3.7e-05,4.089,0.4952,-0.000158,5.726,0.2185,-1.6e-05,3.773,0.1343,-1.1e-05,3.212,100.4,25608.19,1536492,60.0,0,31.61,31.83,31.76,31.9,2.3625,,,48.6
2Nm_BPFO_10,2,bearing,outer_race,10,2,1.0,mm,FAILURE,True,True,25600.0,1536000,60.0,0,1.7732,1.9e-05,4.137,0.4499,7.2e-05,4.139,0.7363,4.6e-05,3.912,0.206,1e-06,3.064,100.4,25608.19,1536492,60.0,0,29.93,30.35,29.79,30.17,2.4397,,,48.6
2Nm_BPFO_30,2,bearing,outer_race,30,3,3.0,mm,FAILURE,True,True,25600.0,1536000,60.0,0,0.9622,-1.2e-05,3.26,1.2911,7e-06,2.945,0.4835,-2.4e-05,3.515,0.3448,3e-06,4.031,50.2,25608.19,1536492,60.0,0,30.61,31.04,31.3,31.5,2.4278,,,48.6
2Nm_Misalign_01,2,misalignment,shaft,01,1,1.0,nivel,WARNING,True,True,25600.0,3072000,120.0,0,0.1821,0.0,2.877,0.1205,-2e-06,2.921,0.1601,1.2e-05,2.73,0.1172,2e-06,2.496,100.4,25608.19,3072983,120.0,0,31.45,31.5,30.39,30.44,2.4131,2.4059,1.8839,48.6
2Nm_Misalign_03,2,misalignment,shaft,03,2,2.0,nivel,FAILURE,True,True,25600.0,3072000,120.0,0,0.2834,8e-06,2.97,0.263,-0.000314,3.914,0.1783,0.000105,2.934,0.1246,5e-05,2.719,50.2,25608.19,3072983,120.0,0,31.88,31.94,30.73,30.82,2.4219,2.4142,1.8902,48.6
2Nm_Misalign_05,2,misalignment,shaft,05,3,3.0,nivel,FAILURE,True,True,25600.0,3072000,120.0,0,0.3309,6e-06,3.072,0.4201,2.3e-05,3.349,0.1599,1e-05,2.922,0.1357,0.0,2.888,50.2,25608.19,3072983,120.0,0,32.24,32.35,32.21,32.35,2.4299,2.422,1.8969,48.6
2Nm_Normal,2,normal,none,,0,0.0,none,HEALTHY,True,True,25600.0,3072000,120.0,0,0.168,-4e-06,2.868,0.1253,-7.2e-05,2.784,0.133,7.9e-05,2.861,0.0985,3e-06,2.676,100.1,25608.19,3072983,120.0,0,28.17,28.34,28.97,29.18,2.3498,2.3395,1.8345,48.5
2Nm_Unbalance_0583mg,2,unbalance,rotor,0583,1,583.0,mg,WARNING,True,True,25600.0,3072000,120.0,0,0.1677,-1.1e-05,2.854,0.1248,-0.000207,2.773,0.1337,-3.1e-05,2.87,0.099,-4e-06,2.694,50.0,25608.19,3072983,120.0,0,28.09,28.28,28.94,29.16,2.349,2.3384,1.8341,48.5
2Nm_Unbalance_1169mg,2,unbalance,rotor,1169,2,1169.0,mg,FAILURE,True,True,25600.0,3072000,120.0,0,0.1675,-1e-06,2.865,0.1258,-0.000185,2.773,0.132,4.3e-05,2.865,0.0974,7e-06,2.693,50.0,25608.19,3072983,120.0,0,27.86,28.03,28.65,28.9,2.3457,2.335,1.8312,48.5
2Nm_Unbalance_1751mg,2,unbalance,rotor,1751,3,1751.0,mg,FAILURE,True,True,25600.0,3072000,120.0,0,0.1675,-2e-06,2.815,0.1254,-0.000118,2.775,0.1315,6.6e-05,2.845,0.0974,2e-06,2.707,50.0,25608.19,3072983,120.0,0,27.75,27.97,28.52,28.8,2.3425,2.3317,1.8287,48.5
2Nm_Unbalance_2239mg,2,unbalance,rotor,2239,4,2239.0,mg,FAILURE,True,True,25600.0,3072000,120.0,0,0.1669,-1.3e-05,2.784,0.1237,-0.000189,2.779,0.1311,0.000118,2.848,0.0951,-2e-06,2.663,50.0,25608.19,3072983,120.0,0,27.71,27.92,28.48,28.84,2.3413,2.3304,1.8279,48.5
2Nm_Unbalance_3318mg,2,unbalance,rotor,3318,5,3318.0,mg,FAILURE,True,True,25600.0,3072000,120.0,0,0.1676,-9e-06,2.792,0.1262,-1.4e-05,2.773,0.1317,0.000128,2.828,0.0942,-2.1e-05,2.696,50.0,25608.19,3072983,120.0,0,27.59,27.79,28.03,28.42,2.3447,2.3336,1.8309,48.5
4Nm_BPFI_03,4,bearing,inner_race,03,1,0.3,mm,WARNING,True,True,25600.0,1536000,60.0,0,1.1166,9e-06,9.048,1.6558,-2.5e-05,15.911,0.3067,-3.9e-05,3.092,0.2225,1e-06,3.273,50.2,25608.19,1536492,60.0,0,28.86,29.15,30.41,30.68,2.7361,2.7269,2.1344,48.8
4Nm_BPFI_10,4,bearing,inner_race,10,2,1.0,mm,FAILURE,True,True,25600.0,1536000,60.0,0,1.395,-3.8e-05,4.178,1.3193,1e-06,4.744,0.5687,-3.8e-05,3.445,0.3096,1.2e-05,2.641,100.4,25608.19,1536492,60.0,0,30.31,30.58,30.23,30.59,2.7396,2.73,2.1365,48.8
4Nm_BPFI_30,4,bearing,inner_race,30,3,3.0,mm,FAILURE,True,True,25600.0,1536000,60.0,0,0.7919,-4e-06,3.997,1.1213,-3.4e-05,6.557,0.329,6.9e-05,3.376,0.2222,-3.4e-05,3.899,50.2,25608.19,1536492,60.0,0,31.02,31.23,30.45,30.8,2.745,2.735,2.1428,48.8
4Nm_BPFO_03,4,bearing,outer_race,03,1,0.3,mm,WARNING,True,True,25600.0,1536000,60.0,0,0.6205,-5.9e-05,3.704,0.5176,-1.4e-05,5.393,0.2587,-3.3e-05,3.367,0.1368,-8.1e-05,3.189,100.4,25608.19,1536492,60.0,0,32.69,32.84,33.4,33.66,2.731,,,48.8
4Nm_BPFO_10,4,bearing,outer_race,10,2,1.0,mm,FAILURE,True,True,25600.0,1536000,60.0,0,1.7672,1.8e-05,4.089,0.4476,7.8e-05,3.967,0.7374,-2e-05,4.035,0.1942,-1.6e-05,2.993,100.3,25608.19,1536492,60.0,0,31.71,31.89,32.15,32.57,2.7485,,,48.8
4Nm_BPFO_30,4,bearing,outer_race,30,3,3.0,mm,FAILURE,True,True,25600.0,1536000,60.0,0,1.0021,-9.9e-05,3.385,1.3283,-0.00036,2.958,0.5133,-7.3e-05,3.534,0.3518,2e-05,4.162,50.2,25608.19,1536492,60.0,0,31.89,32.11,32.95,33.25,2.7468,,,48.8
4Nm_Misalign_01,4,misalignment,shaft,01,1,1.0,nivel,WARNING,True,True,25600.0,3072000,120.0,0,0.2334,8e-06,2.611,0.1437,1e-06,3.192,0.1868,-8e-06,2.691,0.1116,-1e-05,2.667,50.2,25608.19,3072983,120.0,0,29.43,29.58,31.37,31.66,2.7005,2.6851,2.104,48.8
4Nm_Misalign_03,4,misalignment,shaft,03,2,2.0,nivel,FAILURE,True,True,25600.0,3072000,120.0,0,0.2285,7e-06,2.62,0.1406,4.5e-05,3.313,0.163,7.4e-05,2.706,0.1145,-3e-06,2.686,50.2,25608.19,3072983,120.0,0,29.88,30.11,31.75,31.98,2.7128,2.6977,2.1139,48.8
4Nm_Misalign_05,4,misalignment,shaft,05,3,3.0,nivel,FAILURE,True,True,25600.0,3072000,120.0,0,0.325,4e-06,3.218,0.3859,3.2e-05,4.443,0.1821,-5.5e-05,2.732,0.1347,8e-06,2.921,50.2,25608.19,3072983,120.0,0,31.64,31.79,33.41,33.5,2.732,2.7169,2.1291,48.8
4Nm_Normal,4,normal,none,,0,0.0,none,HEALTHY,True,True,25600.0,3072000,120.0,0,0.2552,9e-06,2.544,0.1567,4e-05,2.895,0.2175,0.00025,2.493,0.1138,1.2e-05,2.769,99.8,25608.19,3072983,120.0,0,27.41,27.68,27.82,28.86,2.6982,2.682,2.1021,48.5
4Nm_Unbalance_0583mg,4,unbalance,rotor,0583,1,583.0,mg,WARNING,True,True,25600.0,3072000,120.0,0,0.2473,-1.1e-05,2.623,0.1493,-6.2e-05,2.896,0.2164,0.000117,2.46,0.1171,-9e-06,2.781,99.7,25608.19,3072983,120.0,0,28.09,28.43,29.82,30.55,2.7247,2.7086,2.123,48.5
4Nm_Unbalance_1169mg,4,unbalance,rotor,1169,2,1169.0,mg,FAILURE,True,True,25600.0,3072000,120.0,0,0.2339,-2e-06,2.683,0.1477,-0.00011,2.906,0.2085,0.000104,2.411,0.1162,4e-06,2.746,49.9,25608.19,3072983,120.0,0,28.5,28.77,30.62,31.1,2.7174,2.7016,2.1177,48.5
4Nm_Unbalance_1751mg,4,unbalance,rotor,1751,3,1751.0,mg,FAILURE,True,True,25600.0,3072000,120.0,0,0.2314,1.2e-05,2.707,0.1459,-6e-06,2.905,0.2061,0.000154,2.405,0.1162,5e-06,2.744,49.9,25608.19,3072983,120.0,0,28.82,29.03,31.1,31.48,2.7108,2.6948,2.1124,48.5
4Nm_Unbalance_2239mg,4,unbalance,rotor,2239,4,2239.0,mg,FAILURE,True,True,25600.0,3072000,120.0,0,0.2288,-7e-06,2.674,0.1413,-0.000164,2.917,0.205,4.1e-05,2.406,0.1166,1.1e-05,2.744,49.9,25608.19,3072983,120.0,0,28.99,29.19,31.26,31.59,2.7119,2.6956,2.1131,48.5
4Nm_Unbalance_3318mg,4,unbalance,rotor,3318,5,3318.0,mg,FAILURE,True,True,25600.0,3072000,120.0,0,0.2314,-8e-06,2.674,0.1448,-0.000113,2.932,0.2064,5.3e-05,2.4,0.1163,1e-05,2.738,49.9,25608.19,3072983,120.0,0,29.14,29.34,31.38,31.7,2.7087,2.6925,2.1104,48.5
